Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Muizenberg,1,1,,1,8.853665428,40,Rental,36787710
Green Point,3,3,87 High Level Rd,3,10.71441777,300,Rental,30266654
Woodstock,1,1,,1,9.61580548,73,Rental,36797461
Oranjezicht,1,1,,0,9.536040512,43,Rental,36787162
Green Point,1,1,,2,9.998797732,46,Rental,36787010
Oranjezicht,3,3.5,,1.5,10.46310334,520,Rental,36787489
Cape Town City Centre,1,1,Adderley Street,1,9.37585481,55,Rental,33481913
Clifton,3,2.5,,2,11.46163217,350,Rental,36807784
Sea Point,2,1,16 London Rd,0,9.975808214,87,Rental,33708202
Mouille Point,1,1,157 Beach Road,1,9.472704636,45,Rental,36754662
Foreshore,1,1,Harbour Arch Boulevard,1,9.798127037,51,Rental,36796300
Sea Point,2,2,,1,10.22194128,81,Rental,36794133
Mouille Point,2,2,,1,10.27505111,102,Rental,36793541
Green Point,1,1,3 Romney Rd,0,9.893437217,,Rental,35275143
Mouille Point,3,2,,1,11.00209984,153,Rental,35216870
Vredehoek,0.5,1,,1,9.305650552,42,Rental,31682633
Sea Point,3,3.5,,2,11.35040654,209,Rental,34896973
Wynberg Upper,2,1,,2,9.61580548,63,Rental,36796873
Sea Point,2,2,,1,10.59663473,110,Rental,36786029
Sea Point,2,1,281/283,1,10.02127059,,Rental,36804553
Sea Point,0.5,1,,0,9.740968623,36,Rental,35774968
Bo Kaap,2,2.5,35 Rose St,3,10.38899537,240,Rental,36656931
Kenilworth,2,1,,1,9.680344001,81,Rental,36792042
Tamboerskloof,3,2,,0,10.46310334,127,Rental,36810361
Camps Bay,2,1,,1,10.16585182,90,Rental,32585577
Sea Point,2,2,,1,10.04324949,92,Rental,36782764
Green Point,1,1,,1,9.392661929,19,Rental,36792091
Pinelands,3,1.5,,4,9.740968623,,Rental,36829780
Gardens,2,1.5,,1,9.798127037,90,Rental,34427477
Sea Point,3,1,77 Regent Rd,1,10.25765937,150,Rental,36315881
Sea Point,2,2,,1,10.22194128,81,Rental,36786138
Mouille Point,2,2,,0,10.29214554,101,Rental,36784807
Green Point,2,2,,2,10.1266311,81,Rental,36791894
Mouille Point,1,1,,1,9.735068901,71,Rental,36824841
Camps Bay,1,1,25 Ingleside Rd,1,9.740968623,40,Rental,33482064
Observatory,2,2,3a Howe Street,1,9.61580548,59,Rental,34884136
Green Point,4,5,,2,11.77528973,300,Rental,36742229
Clifton,2,2,,2,11.35040654,133,Rental,36784752
Sea Point,0.5,1,"19 Kloof Road, Sea Point , Cape Town",0,10.0647557,31,Rental,35444187
Cape Town City Centre,2,2,,1,10.1266311,76,Rental,36823861
Observatory,3,1.5,,0,9.680344001,130,Rental,34301318
Rondebosch,1,1,Cnr Klipfontein Road and Sawkins Road,1,9.210340372,44,Rental,29708560
Wynberg Upper,2,1,19 Sherard Square,1,9.305650552,91,Rental,36651554
Observatory,0.5,1,,1,9.159047078,35,Rental,36786415
Observatory,1,1,289 Lower Main Road,1,9.047821442,34,Rental,36716112
Sea Point,2,2,,1,10.1266311,101,Rental,36786914
Woodstock,1,1,,0,9.210340372,98,Rental,34001343
Observatory,3,2,,1,10.04324949,91,Rental,36786178
Observatory,2,2,13 Bishop Road,0,9.61580548,153,Rental,36780955
Camps Bay,3,4,,2,11.14186178,,Rental,31155364
Sea Point,2,3,,1,10.46310334,200,Rental,36777431
Mouille Point,2,2,129 Beach Road,2,10.83958091,154,Rental,36082796
Vredehoek,1,1,,1,9.61580548,49,Rental,36812520
Sea Point,1,1,,1,10.1266311,70,Rental,36788442
Muizenberg,1,1,"2 Royal Road, Muizenberg",0,9.350102314,70,Rental,36779358
Sea Point,2,1,,0,9.903487553,59,Rental,36800647
Newlands,3,2,,2,10.54534144,,Rental,36817020
Observatory,1,1,17 Kotzee Street,0,8.853665428,20,Rental,30487210
Muizenberg,3,3,,1,9.648595303,114,Rental,36780256
Mouille Point,2,2,,1,10.83958091,154,Rental,36804070
Camps Bay,2,2,,2,10.23995979,149,Rental,36786084
Sea Point,1,1,69a Regent Rd,0,10.22194128,65,Rental,35799111
Diep River,2,2,,1,9.350102314,,Rental,34666184
Sea Point,2,2,,1,10.1266311,121,Rental,35427427
Sea Point,2,2,,1,9.998797732,84,Rental,36787025
Pinelands,1,1,,2,8.853665428,80,Rental,32497437
Constantia,5,4,,10,10.93310697,,Rental,35297716
Sea Point,3,3,,2,11.22524339,128,Rental,36820966
Gardens,2,3,20 Wembley Rd,4,10.59663473,300,Rental,36777692
Sea Point,1,1,"406 Versailles, 219 Main Road",1,9.825526011,36,Rental,36778529
Oranjezicht,4,2,6 Rugby Road,2,11.00209984,,Rental,36788458
Green Point,3,1.5,,1,10.1266311,126,Rental,36791748
Constantia,7,5.5,,7,11.26446411,,Rental,36823256
Kenilworth,2,2,,1,9.61580548,85,Rental,36822469
Green Point,2,2.5,,1,10.46310334,141,Rental,36778131
Claremont Upper,4,2.5,6 Feldhausen Road,2,10.78931908,560,Rental,36059168
Mouille Point,2,1,,0,9.998797732,69,Rental,36798561
Cape Town City Centre,1,1,,0,9.680344001,45,Rental,36832454
Pinelands,1,1,"Typea Silvermine, 8 Informal Rd",1,8.935903526,32,Rental,35974719
Pinelands,1,1,"B216 Pinelands Grove Retirement Village1, 17 Sunrise Road",1,9.61580548,47,Rental,36797399
Muizenberg,2,2,. Clifton Road,3,9.680344001,285,Rental,36804186
Sea Point,2,1,239 Beach Rd,1,10.37349118,96,Rental,35919047
Vredehoek,2,2,,2,10.30895266,90,Rental,35806937
Plumstead,3,2.5,,2,10.34174248,,Rental,36835028
Tamboerskloof,2,2,Kohling St,0,9.998797732,120,Rental,36620559
Tamboerskloof,2,3,,1,10.81977828,150,Rental,36811144
Observatory,3,4,,0,9.798127037,140,Rental,36809511
Observatory,1,1,,0,9.305650552,106,Rental,36824024
