Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Mouille Point,2.0,2.0,,0.0,10.29214554,101.0,Rental,36784807
Green Point,2.0,2.0,,2.0,10.1266311,81.0,Rental,36791894
Mouille Point,1.0,1.0,,1.0,9.735068901,71.0,Rental,36824841
Camps Bay,1.0,1.0,25 Ingleside Rd,1.0,9.740968623,40.0,Rental,33482064
Observatory,2.0,2.0,3a Howe Street,1.0,9.61580548,59.0,Rental,34884136
Green Point,4.0,5.0,,2.0,11.77528973,300.0,Rental,36742229
Clifton,2.0,2.0,,2.0,11.35040654,133.0,Rental,36784752
Sea Point,0.5,1.0,"19 Kloof Road, Sea Point , Cape Town",0.0,10.0647557,31.0,Rental,35444187
Cape Town City Centre,2.0,2.0,,1.0,10.1266311,76.0,Rental,36823861
Observatory,3.0,1.5,,0.0,9.680344001,130.0,Rental,34301318
Rondebosch,1.0,1.0,Cnr Klipfontein Road and Sawkins Road,1.0,9.210340372,44.0,Rental,29708560
Wynberg Upper,2.0,1.0,19 Sherard Square,1.0,9.305650552,91.0,Rental,36651554
Observatory,0.5,1.0,,1.0,9.159047078,35.0,Rental,36786415
Observatory,1.0,1.0,289 Lower Main Road,1.0,9.047821442,34.0,Rental,36716112
Sea Point,2.0,2.0,,1.0,10.1266311,101.0,Rental,36786914
Woodstock,1.0,1.0,,0.0,9.210340372,98.0,Rental,34001343
Observatory,3.0,2.0,,1.0,10.04324949,91.0,Rental,36786178
Observatory,2.0,2.0,13 Bishop Road,0.0,9.61580548,153.0,Rental,36780955
Camps Bay,3.0,4.0,,2.0,11.14186178,,Rental,31155364
Sea Point,2.0,3.0,,1.0,10.46310334,200.0,Rental,36777431
Mouille Point,2.0,2.0,129 Beach Road,2.0,10.83958091,154.0,Rental,36082796
Vredehoek,1.0,1.0,,1.0,9.61580548,49.0,Rental,36812520
Sea Point,1.0,1.0,,1.0,10.1266311,70.0,Rental,36788442
Muizenberg,1.0,1.0,"2 Royal Road, Muizenberg",0.0,9.350102314,70.0,Rental,36779358
Sea Point,2.0,1.0,,0.0,9.903487553,59.0,Rental,36800647
Newlands,3.0,2.0,,2.0,10.54534144,,Rental,36817020
Observatory,1.0,1.0,17 Kotzee Street,0.0,8.853665428,20.0,Rental,30487210
Muizenberg,3.0,3.0,,1.0,9.648595303,114.0,Rental,36780256
Mouille Point,2.0,2.0,,1.0,10.83958091,154.0,Rental,36804070
Camps Bay,2.0,2.0,,2.0,10.23995979,149.0,Rental,36786084
Sea Point,1.0,1.0,69a Regent Rd,0.0,10.22194128,65.0,Rental,35799111
Diep River,2.0,2.0,,1.0,9.350102314,,Rental,34666184
Sea Point,2.0,2.0,,1.0,10.1266311,121.0,Rental,35427427
Sea Point,2.0,2.0,,1.0,9.998797732,84.0,Rental,36787025
Pinelands,1.0,1.0,,2.0,8.853665428,80.0,Rental,32497437
Constantia,5.0,4.0,,10.0,10.93310697,,Rental,35297716
Sea Point,3.0,3.0,,2.0,11.22524339,128.0,Rental,36820966
Gardens,2.0,3.0,20 Wembley Rd,4.0,10.59663473,300.0,Rental,36777692
Sea Point,1.0,1.0,"406 Versailles, 219 Main Road",1.0,9.825526011,36.0,Rental,36778529
Oranjezicht,4.0,2.0,6 Rugby Road,2.0,11.00209984,,Rental,36788458
Green Point,3.0,1.5,,1.0,10.1266311,126.0,Rental,36791748
Constantia,7.0,5.5,,7.0,11.26446411,,Rental,36823256
Kenilworth,2.0,2.0,,1.0,9.61580548,85.0,Rental,36822469
Green Point,2.0,2.5,,1.0,10.46310334,141.0,Rental,36778131
Claremont Upper,4.0,2.5,6 Feldhausen Road,2.0,10.78931908,560.0,Rental,36059168
Mouille Point,2.0,1.0,,0.0,9.998797732,69.0,Rental,36798561
Cape Town City Centre,1.0,1.0,,0.0,9.680344001,45.0,Rental,36832454
Pinelands,1.0,1.0,"Typea Silvermine, 8 Informal Rd",1.0,8.935903526,32.0,Rental,35974719
Pinelands,1.0,1.0,"B216 Pinelands Grove Retirement Village1, 17 Sunrise Road",1.0,9.61580548,47.0,Rental,36797399
Muizenberg,2.0,2.0,. Clifton Road,3.0,9.680344001,285.0,Rental,36804186
Sea Point,2.0,1.0,239 Beach Rd,1.0,10.37349118,96.0,Rental,35919047
Vredehoek,2.0,2.0,,2.0,10.30895266,90.0,Rental,35806937
Plumstead,3.0,2.5,,2.0,10.34174248,,Rental,36835028
Tamboerskloof,2.0,2.0,Kohling St,0.0,9.998797732,120.0,Rental,36620559
Tamboerskloof,2.0,3.0,,1.0,10.81977828,150.0,Rental,36811144
Observatory,3.0,4.0,,0.0,9.798127037,140.0,Rental,36809511
Observatory,1.0,1.0,,0.0,9.305650552,106.0,Rental,36824024
Green Point,1.0,1.0,219 Main Rd,2.0,9.61580548,65.0,Rental,36641647
Clifton,4.0,3.5,280 Kloof Road,2.0,11.73606902,250.0,Rental,36351808
Clifton,3.0,2.5,One Victoria Road,2.0,11.60823564,350.0,Rental,36776286
Sea Point,0.5,1.0,8 Ashkelon London Road Sea Point 8005,0.0,9.210340372,50.0,Rental,36797322
Muizenberg,3.0,3.0,10 Maynard Road,1.0,9.71111566,114.0,Rental,36778981
