Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Rondebosch,1.0,1.0,,0.0,9.392661929,,Rental,36819004
Sea Point,0.5,1.0,,1.0,9.680344001,44.0,Rental,36810308
Fresnaye,2.0,2.5,,1.0,10.93310697,324.0,Rental,36582909
Pinelands,3.0,1.5,14 Hill Rise Road,8.0,10.30895266,,Rental,36706772
Foreshore,1.0,1.0,,1.0,9.71111566,51.0,Rental,36779015
Woodstock,1.0,1.0,,1.0,9.581903928,70.0,Rental,36825403
Kenilworth Upper,2.0,1.0,356 Main Road,1.0,9.903487553,82.0,Rental,35800268
Bo Kaap,2.0,2.0,,1.0,10.30895266,80.0,Rental,36683341
Green Point,3.0,1.0,,0.0,9.998797732,100.0,Rental,36830537
Camps Bay,3.0,2.0,,2.0,11.22524339,349.0,Rental,36556793
Cape Town City Centre,2.0,2.0,Corner Of Wale and Burg Street,1.0,10.30895266,105.0,Rental,36241491
Bo Kaap,2.0,2.0,,0.0,9.825526011,,Rental,36834654
Plumstead,3.0,3.0,33b Honiton Road,2.0,9.952277717,300.0,Rental,36492671
Mouille Point,3.0,5.0,,2.0,11.91839057,634.0,Rental,36712904
Woodstock,1.0,1.0,Wex1 85 Albert Street Woodstock,1.0,9.525151112,,Rental,36794742
Pinelands,1.0,1.0,,0.0,9.035986985,66.0,Rental,36803694
Vredehoek,2.0,2.0,"11 Ben Avenue, High Cape Two",1.0,9.998797732,80.0,Rental,36830491
Claremont Upper,2.0,1.0,,1.0,9.546812609,70.0,Rental,36813628
Gardens,4.0,3.0,,2.0,10.81977828,869.0,Rental,36632074
Sea Point,0.5,1.0,4 Frere Rd,0.0,9.798127037,34.0,Rental,36773602
Cape Town City Centre,1.0,1.0,,0.0,9.61580548,,Rental,36738882
Newlands,1.0,1.0,,1.0,9.536040512,,Rental,36786865
Sea Point,1.0,1.0,,1.0,10.30895266,,Rental,36779232
Pinelands,3.0,1.0,Howard Hamlet,2.0,9.723163998,67.0,Rental,36566553
Sea Point,1.0,1.0,,0.0,9.677214108,63.0,Rental,36808114
Observatory,2.0,2.0,3a Howe Street,1.0,9.61580548,59.0,Rental,34884136
Sea Point,2.0,2.0,81 Regent Road,1.0,10.1266311,101.0,Rental,35021820
Kenilworth Upper,6.0,6.0,,9.0,11.40756495,,Rental,36163544
Oranjezicht,3.0,2.0,,2.0,10.66895539,750.0,Rental,28827910
Green Point,3.0,1.0,,0.0,9.998797732,110.0,Rental,36811690
Gardens,2.0,1.0,,1.0,9.71111566,83.0,Rental,35322111
Rondebosch,0.5,1.0,,0.0,9.433483923,,Rental,36734298
Cape Town City Centre,1.0,2.0,,1.0,9.903487553,61.0,Rental,36628706
Sea Point,1.0,1.0,239 Beach Road,1.0,10.02127059,76.0,Rental,36529564
Sea Point,4.0,3.0,,2.0,11.00209984,225.0,Rental,36671969
Bo Kaap,2.0,1.0,58 Leeuwen Street,1.0,9.648595303,85.0,Rental,29678720
Fresnaye,3.0,2.0,,0.0,10.91508846,476.0,Rental,36737368
Muizenberg,1.0,1.0,,1.0,8.612503371,219.0,Rental,36476473
Clifton,4.0,3.5,280 Kloof Road,2.0,11.73606902,250.0,Rental,36351808
